Name, Category Type, Category Subtype, Phone, Website, Email, Geographic Location
Dos Caminos,amenity,restaurant,+1-212-277-4300,https://www.doscaminos.com/soho/,,--West Broadway
Brinkley's,amenity,pub,,,,--
Delicatessen,amenity,restaurant,,,,--
La Esquina,amenity,restaurant,,,,-10012-Kenmare Street
La Colombe Coffee Roasters,amenity,cafe,,,,-10012-Lafayette Street
Pomodoro,amenity,restaurant,,,,New York-10012-Spring Street
Soho Park,amenity,fast_food,,,,--
Open Door Senior Center,amenity,community_centre,+1 212 431 9026,https://www.cpc-nyc.org/senior_s.htm,,New York-10013-Grand Street
Nom Wah Nolita,amenity,restaurant,1-646-478-8242,,,-10012-Kenmare Street
piacere nyc,amenity,restaurant,,,,-10013-Broome Street
Cocoron,amenity,restaurant,+12129660800,http://www.cocoronandgoemon.com/,,-10012-Kenmare Street
The Ship,amenity,bar,,,,-10013-Lafayette Street
Le Poisson Rouge,amenity,theatre,,https://lpr.com/,,-10012-Bleecker Street
Third Rail Coffee,amenity,cafe,,,,New York-10012-Sullivan Street
Starbucks,amenity,cafe,,,,New York-10003-Waverly Place
The Bitter End,amenity,bar,+1-212-673-7030,http://www.bitterend.com/,info@bitterend.com,--Bleecker Street
Chinese American Planning Council,amenity,community_centre,(212) 941-0030,https://cpc-nyc.org,,New York-10002-Eldridge Street
D3 Busline,amenity,bus_station,(646) 210-8928,,,New York-10002-Delancey Street
Sonnyboy,amenity,restaurant,,,,New York-10002-Rivington Street
Subway,amenity,fast_food,,,,New York-10002-Delancey Street
The American Society of Buddhist Studies,amenity,place_of_worship,,,,-10013-Centre Street
Officina Mille Miglia,amenity,restaurant,,,,-10013-Broome Street
Chinatown Federal Savings Bank,amenity,bank,,https://hanoverbank.com,,-10002-Bowery
Lena,amenity,restaurant,+1-212-343-7425,https://lena-nyc.com,,-10002-Eldridge Street
The GEM Hotel Soho,tourism,hotel,,,,-10002-East Houston Street
U.S. Pacific Hotel,tourism,hotel,,,,-10013-Bowery
Nickel & Diner,amenity,restaurant,+1-646-870-6100,https://www.nickelanddiner.com,,-10013-Howard Street
Centre Care Phamacy,amenity,pharmacy,,,,-10013-Centre Street
CPC Chung Pak Day Care Center,amenity,childcare,,,,-10013-Walker Street
Alimama Tea,amenity,cafe,,,,-10013-Bayard Street
Pasteur,amenity,restaurant,+1-212-608-3656,https://www.pasteurgrill.com,,-10013-Baxter Street
Shanghai Cruisine,amenity,restaurant,+1-212-732-8988,,,-10013-Bayard Street
Metropharm,amenity,pharmacy,+1-212-219-8668,,,-10013-Baxter Street
100 Gates Project,tourism,museum,,https://100gates.nyc,,--
Yee Li,amenity,restaurant,+1 212 219-3686,,,New York-10013-Elizabeth Street
Bake Culture,amenity,cafe,+1-646-858-2898,https://bakecultureusa.com,,-10013-Bowery
Hotel 50 bowrey,tourism,hotel,,,,New York City-10013-Bowery
Shu Jiao Fu Zhou Cuisine,amenity,restaurant,,,,-10002-Eldridge Street
Subway,amenity,fast_food,,,,-10002-Grand Street
Grey Lady,amenity,bar,+1-646-580-5239,https://www.greyladynyc.com,,-10002-Delancey Street
Magenta Plains,tourism,gallery,+1-917-388-2464,http://www.magentaplains.com,,-10002-Allen Street
Wanda Coach,amenity,bus_station,+1 917 717 4666,https://www.wandacoach.com,,-10002-Canal Street
Yummy Kitchen,amenity,restaurant,,,,-10002-Allen Street
Citibank,amenity,bank,,,,New York-10013-Canal Street
EastWest Unibank,amenity,bank,,,,New York-10002-Bowery
EastWest Unibank,amenity,bank,,,,--
HSBC,amenity,bank,,,,--
TD Bank,amenity,bank,,,,New York-10013-Canal Street
Best Western Bowery Hanbee Hotel,tourism,hotel,2129251177,http://www.bw-boweryhanbeehotel.com/,,New York-10013-Grand Street
Capital One,amenity,bank,,,,New York-10013-Bowery
Chase,amenity,bank,,,,--
Chase,amenity,bank,,,,--
First American International Bank,amenity,bank,,,,--
Kung Fu Tea,amenity,cafe,,,,--
Mulberry Branch,amenity,library,,,,New York-10012-3332-Jersey Street
puck fair,amenity,bar,,,,--
Wo-Hop,amenity,restaurant,,,,-10013-Mott Street
Shanghai 21,amenity,restaurant,,,,-10013-Mott Street
Peachy's,amenity,bar,6468959301,http://www.chinesetuxedo.com,,-10013-Doyers Street
Buddha Bodai,amenity,restaurant,+1-212-566-8388,https://www.buddha-bodai.com,,-10013-Mott Street
Café Grumpy,amenity,cafe,+1-212-777-7515,https://cafegrumpy.com/locations/lower-east-side/,,New York-10002-Essex Street
CC’s Cafe,amenity,cafe,(212) 571-1060,https://ccscafe.nyc,,New York-10002-Monroe Street
Confucius Plaza Medical Offices,amenity,doctors,+1-212-431-4333,,,-10002-Bowery
Confucious Pharmacy,amenity,pharmacy,,,,-10002-Bowery
Royal Business Bank,amenity,bank,+1-212-431-3231,,,-10002-Bowery
Fei Tenc Seafood,amenity,restaurant,(212) 274-8659,https://jinlianfoochow.com,,New York-10002-Market Street
Shui Mei Cafe,amenity,restaurant,(212) 791-2819,,,New York-10002-East Broadway
United States Post Office,amenity,post_office,,,,New York-10002-East Broadway
Gin Lane,amenity,studio,(212) 260-9565,https://ginlane.com,,New York-10002-East Broadway
Hotel91,tourism,hotel,,,,New York-10002-East Broadway
Joe's Pub at the Public,amenity,bar,,,,New York-10003-Lafayette Street
New Green Bo,amenity,restaurant,,,,New York-10013-Bayard Street
Howard Johnson Manhattan Soho,tourism,hotel,,,,New York--Allen Street
Matchless Gifts Hare Krishna Temple,amenity,place_of_worship,,http://krishnanyc.com/,,New York-10003-2nd Avenue
The Bowery House,tourism,hostel,+1 212-837-2373,http://www.theboweryhouse.com,,--Bowery
Dudleys,amenity,restaurant,,,,New York-10002-Orchard Street
Cafe Katja,amenity,restaurant,+1 212-219-9545,https://www.cafekatja.com,,New York-10002-Orchard Street
Sticky Rice,amenity,restaurant,+1-212-274-8208,https://www.stickyriceles.com,,New York-10002-Orchard Street
An Choi,amenity,restaurant,,,,New York-10002-Orchard Street
Roasting Plant,amenity,restaurant,,,,New York-10002-Orchard Street
Barrio Chino,amenity,restaurant,,,,New York-10002-Broome Street
The Fat Radish,amenity,restaurant,,,,New York-10002-Orchard Street
Leadbelly,amenity,restaurant,,,,New York-10002-Orchard Street
Bacaro,amenity,restaurant,,,,New York-10002-Division Street
Emma Peel Room,amenity,bar,+1-646-918-6529,,,New York-10002-Broome Street
Irving Farm Coffee Roasters,amenity,cafe,+1-212-228-8880,https://irvingfarm.com/pages/lower-east-side,,--Orchard Street
Bitcoin Center NYC,amenity,atm,,https://bitcoincenternyc.com/,,New York-10012-Cleveland Place
Café Select,amenity,restaurant,,http://www.cafeselectnyc.com/,,--
Osteria Morini,amenity,restaurant,+1-212-965-8777,https://osteriamorini.com/soho-nyc/,info@osteriamorini.com,--Lafayette Street
The Uncommons,amenity,cafe,+1-646-543-9215,uncommonsnyc.com,us@uncommonsnyc.com,New York-10012-Thompson Street
Time Landscape,tourism,artwork,,,,--
Astor Place Cube,tourism,artwork,,,,--
Astor Place Theatre,amenity,theatre,,https://www.blueman.com/new-york/about-show,,--
Mother's Ruin,amenity,restaurant,,,,New York--Spring Street
Fanelli Cafe,amenity,restaurant,+1-212-226-9412,,,--
Citi Bike - Mercer St & Spring St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Favela Cubana,amenity,restaurant,,,,--LaGuardia Place
Legend West Village,amenity,restaurant,646-918-6216,,,--
Go! Go! CURRY!,amenity,restaurant,,,,New York-10012-Thompson Street
La Colombe Coffee Roasters,amenity,cafe,212 677 5834,https://www.lacolombe.com/,,New York-10003-Lafayette Street
Toloache,amenity,restaurant,+1-212-420-0600,http://toloachenyc.com/,,New York-10012-Thompson Street
Jadis Wine Bar,amenity,restaurant,+1-212-254-1675,http://www.jadisnyc.com,info@jadisnyc.com,New York-10002-Rivington Street
Balthazar,amenity,restaurant,,,,--Spring Street
The Grey Dog,amenity,restaurant,+1-212-966-1060,https://thegreydog.com/,,--Mulberry Street
Tartinery,amenity,cafe,,,,New York-10012-Mulberry Street
Cafe Habana,amenity,restaurant,,,,New York-10012-Prince Street
Sacred Chow,amenity,restaurant,,,,--
Citi Bike - Allen St & Hester St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Bayard St & Baxter St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Catherine St & Monroe St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Cleveland Pl & Spring St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Division St & Bowery,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - E 2 St & 2 Ave,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Elizabeth St & Hester St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Forsyth St & Broome St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Great Jones St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Howard St & Centre St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - LaGuardia Pl & W 3 St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Lafayette St & Jersey St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Mercer St & Bleecker St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Mott St & Prince St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Rivington St & Chrystie St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Shevchenko Pl & E 7 St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - St James Pl & Oliver St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Stanton St & Chrystie St,amenity,bicycle_rental,,https://citibikenyc.com/,,--
Citi Bike - Washington Pl & Broadway,amenity,bicycle_rental,,https://citibikenyc.com/,,--
The Randolph At Broome,amenity,bar,,,,New York--Broome Street
App Academy,amenity,dojo,,,,New York City-10018-Broadway
Terra Blues,amenity,bar,+1-212-777-7776,https://www.terrablues.com/,,--Bleecker Street
The Red Lion,amenity,bar,+1-212-260-9797,https://redlionnyc.com/,info@redlionnyc.com,--Bleecker Street
Wicked Willy's,amenity,bar,,http://www.wickedwillysny.com/,,--Bleecker Street
Bodhi,amenity,restaurant,+1-212-233-2921,http://www.buddhavegetarian.com,,New York--Mulberry Street
Lin Zexu,historic,memorial,,,,--
World Hotel,tourism,hotel,+1-1-212-226-5522,https://worldhotelnyc.com,,--
Bayard Street Obstetrics and Gynecology,amenity,clinic,+1 212 226-5530,http://bayardstobgyn.com/,,New York-10013-Bayard Street
Dr. David H. Lifschutz MD,amenity,doctors,212-529-2733,http://drdavidhlifschutzmd.com,dhlifschutzmd@gmail.com,New York City-10012-Broadway
Mei Lai Wah Coffee,amenity,restaurant,,,,New York-10013-Bayard Street
Gee How Oak Tin Association,amenity,community_centre,,,,--
Bayard L. C. Pharmacy,amenity,pharmacy,,,,New York-10013-Bayard Street
Sam's Spring Roles,amenity,restaurant,,,,--
More Parlour,amenity,cafe,,,,--
Gato,amenity,restaurant,(212)334-6400,http://gatonyc.com/,,--
Allen & Grand El 1881,historic,yes,,,,--
6th & 8th St El 1881,historic,yes,,,,--
The Half Pint,amenity,pub,+1-212-260-1088,http://www.thehalfpintnyc.com/,,--West 3rd Street
24 Hour Deli,amenity,fast_food,,,,--
BBar & Grill,amenity,restaurant,+1 212 475 2220,http://www.bbarandgrill.com/,,New York-10003-East 4th Street
Duane Reade,amenity,pharmacy,+1-212-473-1027,https://www.walgreens.com/locator/walgreens-4+w+4th+st-new+york-ny-10012/id=14247,,-10012-West 4th Street
Attaboy,amenity,bar,,,,--Eldridge Street
Pulqueria,amenity,restaurant,,,,--Doyers Street
Mulberry Project,amenity,bar,,,,--Mulberry Street
Après-Ski Fondue Chalet at Café Select,amenity,bar,,,,--Lafayette Street
Kuma Inn,amenity,restaurant,,,,--Ludlow Street
VBar & Cafe,amenity,bar,+1 212 253 5740,https://www.vbarandcompany.com/location/vbar-cafe/,,--
Tacombi,amenity,bar,+1 917 727 0179,http://tacombi.com/locations/Nolita,,-10012-
The Butcher Daughter,amenity,restaurant,,,,--Kenmare Street
Peking House,amenity,restaurant,,,,--Mott Street
Piccola Strada,amenity,restaurant,,,,--East 4th Street
McDonald's,amenity,fast_food,+1 212-529-9660,mcdonalds.com,,-10003-
Benito One,amenity,restaurant,,,,-10013-
The Mercer Kitchen,amenity,restaurant,+12129665454,https://themercerkitchen.com/,,-10012-Prince Street
Chipotle,amenity,fast_food,,,,--
Bank of America,amenity,bank,,,,--
Pravda New York,amenity,pub,+1-212-226-4944,http://www.pravdany.com/,,New York-10012-Lafayette Street
one mile place,amenity,bar,+16465590702,http://www.onemilehousenyc.com,,-10002-
Bohemian,amenity,restaurant,,,,--
Sun's Organic Garden,amenity,cafe,+1 212-566-3260,,,-10013-Bayard Street
Nom Wah Tea Parlor,amenity,cafe,,,,--
house of vegetarian,amenity,restaurant,,,,--
Sweetgreen,amenity,restaurant,,,,-10012-Kenmare Street
Cha Cha Matcha,amenity,cafe,,https://chachamatcha.com/pages/locations?location=new-york-city,,-10013-Broome Street
Dirt Candy,amenity,restaurant,+1 212 228-7732,http://www.dirtcandynyc.com/,,New York-10002-Allen Street
Rubirosa,amenity,restaurant,,,,--
10 Below Ice Cream,amenity,cafe,,,,--
Mahayana Buddhist Temple,amenity,place_of_worship,+1-212-925-8787,http://mahayana.us,,-10002-Canal Street
Liz Christy Garden,tourism,attraction,,,,--
Panorama Will Call,tourism,artwork,,,,--
Bowery ballroom,amenity,nightclub,,http://www.boweryballroom.com/,,--
Colonnade row,tourism,attraction,,,,--
Quantum Leap,amenity,restaurant,+1-212-677-8050,http://www.quantumleaprestaurant.com/,,--Thompson Street
Italian American Museum,tourism,museum,+1 212-965-9000,http://italianamericanmuseum.org/,,New York--Mulberry Street
Vandal,amenity,restaurant,,,,--Bowery
Canal Street,tourism,attraction,,,,--
Chinatown,tourism,attraction,,,,--
theBoil,amenity,restaurant,,https://www.theboilny.com/,,New York-10002-Chrystie Street
Amazing 66,amenity,restaurant,,http://amazing66.com/,,New York City-10013-Mott Street
Blue Ribbon Fried Chicken,amenity,restaurant,+1 212 228-0404,https://blueribbonfriedchicken.com/,,New York-10003-East 1st Street
Gyu-Kaku Japanese BBQ,amenity,restaurant,,,,--
Xi'an Famous Foods,amenity,fast_food,,,,--
49 Crosby,tourism,hotel,,,,--
Fuleen Seafood,amenity,restaurant,,,,--
Great NY Noodletown,amenity,restaurant,,,,--Bowery
Museum of Chinese in America,tourism,museum,+1-855-955-6622,https://www.mocanyc.org,info@mocanyc.org,-10013-Centre Street
SPRING,amenity,restaurant,,,,--Kenmare Street
Uncle Boons,amenity,restaurant,+1 646 370 6650,http://www.uncleboons.com/,,New York-10012-Spring Street
Peasant,amenity,restaurant,+1 212 965 9511,http://www.peasantnyc.com/,,New York-10012-Elizabeth Street
12 Corners,amenity,cafe,+1 646 717 2849,http://12cornerscoffee.com/index.html,,New York-10013-Mott Street
The Smile,amenity,restaurant,+1 646 329 5836,http://www.thesmilenyc.com/,,New York-10012-Bond Street
USA Shaolin Temple,amenity,place_of_worship,+1-212-358-7876,https://www.usashaolintemple.com,,-10002-Allen Street
The Glass Room,tourism,museum,,,,New York-10012-Mulberry Street
Ramen Lab,amenity,restaurant,+1 646 613-7522,http://www.ramen-lab.com/,,New York-10012-Kenmare Street
Juice Generation,amenity,fast_food,+1 (212) 334-1088,https://www.juicegeneration.com/locations/index/show/id/13/,,New York-10012-Prince Street
Starbucks,amenity,cafe,+1 212-219-2725,https://www.starbucks.com/store-locator/store/11834/canal-and-centre-241-canal-street-new-york-ny-100134118-us,,-10013-Canal Street
New Style Hand Pulled Noodles,amenity,restaurant,,,,--
Fiat Café,amenity,restaurant,,,,--
ICP International Center of Photography Museum,tourism,museum,2128570000,https://www.icp.org/facilities/museum,,-10012-
Gallery 11R,tourism,artwork,,,,--
Egg shop,amenity,cafe,,,,--Elizabeth Street
Greecologies,amenity,cafe,,,,--
Two hands,amenity,restaurant,,,,--
Courant Institute of Mathematical Sciences,amenity,university,,,,New York-10012-Mercer Street
Loreley Beer Garden,amenity,restaurant,,http://www.loreleynyc.com/,,--Rivington Street
Paulaner Brauhaus & Restaurant NYC,amenity,restaurant,+12127800300,https://www.paulanernyc.com/,,-10002-Bowery
Taïm,amenity,fast_food,,,,-10012-Spring Street
Paesano's,amenity,restaurant,,,,--
Hometown Hotpot & BBQ,amenity,restaurant,,,,-10013-
Hou Yi Hot Pot,amenity,restaurant,12129663420,,,-10002-
Chinatown Ice Cream Factory,amenity,restaurant,,,,--
Taiwan Pork Chop House,amenity,restaurant,2127917007,,,-10013-Doyers Street
Cafe Integral,amenity,cafe,,,,--
Silk Road Cafe,amenity,cafe,,,,--
88 palace,amenity,restaurant,,,,New York-10002-East Broadway
fu zhou,amenity,fast_food,,,,New York-10002-East Broadway
morgenstern's finest ice cream,amenity,cafe,,http://morgensternsnyc.com,,--Rivington Street
The Scratcher,amenity,pub,+1-212-477-0030,,,New York-10003-East 5th Street
Rebelle,amenity,restaurant,,,,--
Momofuku Ko,amenity,restaurant,,,,--
310 Bowery Bar,amenity,bar,,,,--
Miss Paradis,amenity,restaurant,,,,--
Pizza Prince,amenity,restaurant,,,,--
Joe's Ginger,amenity,restaurant,,,,-10013-
Famous Calabria Pizza,amenity,restaurant,+12122330009,,,-10038-Saint James Place
CVS Pharmacy,amenity,pharmacy,,,,--
Esther and Carol,amenity,restaurant,,,,--
Da Gennaro,amenity,restaurant,,,,--
Community Board #2,amenity,community_centre,,,,--
Prince Street Pizza,amenity,restaurant,+1 212-966-1960,,,-10012-Prince Street
Delight 28 Restaurant,amenity,restaurant,,,,--
Spaghetti Incident,amenity,restaurant,,http://www.spaghettiincidentnyc.com,,--
Rice to Riches,amenity,restaurant,,,,--
Scarr's Pizza,amenity,restaurant,+1-212-334-3481,https://www.scarrspizza.com,,New York-10002-Orchard Street
Sel Rrose,amenity,bar,+1-212-226-2510,https://selrrose.com,,-10002-Delancy Street
La Mela Italiano,amenity,restaurant,,,,--
Chloe,amenity,cafe,,,,--
tiger bus,amenity,bus_station,,,,--
Carroll Place,amenity,restaurant,+1-212-260-1700,http://www.carrollplacenyc.com/,,New York-10012-Bleecker Street
Gasoline Alley coffee,amenity,cafe,,,,--Lafayette Street
Nolitan hotel,tourism,hostel,,,,--Kenmare Street
McNally Jackson,amenity,cafe,,https://www.mcnallyjackson.com/,,New York-10012-Prince Street
Ramen Lab,amenity,restaurant,,,,--Kenmare Street
Goemon Curry,amenity,restaurant,,,,--Kenmare Street
Black Seed Bagels,amenity,cafe,+1 212-730-1950,https://www.blackseedbagels.com,,-10012-Elizabeth Street
Mile End Deli,amenity,restaurant,,,,--
Sweet Moment,amenity,cafe,,,,--
Happy Bones,amenity,cafe,,,,--
Duane Reade,amenity,pharmacy,,,,--
Generation,amenity,pharmacy,,,,--Oliver Street
Citibank,amenity,bank,,,,--Laguardia Place
TD Bank,amenity,bank,,,,--Grand Street
The Market NYC,amenity,marketplace,,,,New York-10012-Mulberry Street
Lily’s,amenity,restaurant,,,,--Oliver Street
Captain Fried Chicken,amenity,fast_food,,,,--Madison Street
Domino's,amenity,fast_food,,,,--
Spicy Village,amenity,restaurant,,,,New York--Forsyth Street
Lure Fishbar,amenity,restaurant,,,,--
Golden Steamer,amenity,fast_food,,,,--
Cheeky Sandwiches,amenity,fast_food,,,,--Orchard Street
Dimes,amenity,restaurant,+1-212-925-1300,https://dimesnyc.com/,,--Canal Street
Project Cozy,amenity,cafe,+1-646-682-7613,https://www.projectcozy.com/,,New York-10013-Broome Street
Yung Sun Seafood Restaurant,amenity,restaurant,+1-212-346-9888,,,New York-10002-East Broadway
Cathy Bank,amenity,bank,,,,-10002-East Broadway
Ajisen Ramen,amenity,restaurant,,,,--Mott Street
Mama Eatery,amenity,restaurant,,,,--Mulberry Street
Famous Sichuan,amenity,restaurant,+1-212-233-3888,http://www.famoussichuanofnewyork.com,,--
Buy Rite Pharmacy,amenity,pharmacy,,,,--Chatham Square
Bella Dental,amenity,dentist,2122336606,https://www.belladentalnyc.com/,,--Pell Street
Mee Sum Cafe,amenity,cafe,,,,--Pell Street
Hop Shing Restaurant,amenity,restaurant,+1-212-267-0220,http://www.hopshing-nyc.com,,--
Transfiguration Roman Catholic School,amenity,school,,,,--Mott Street
Noodle Q,amenity,restaurant,+1 212-219-8223,http://www.noodleqchinatown.com/,,-10038-East Broadway
Tasty Dumping,amenity,restaurant,,,,--Mulberry Street
USPS Chinatown Station,amenity,post_office,,,,--Doyers Street
Sichuan Hot Pot Cuisine,amenity,restaurant,2122678886,,,--Pell Street
Tasty Hand Pulled Noodles,amenity,restaurant,2127911817,,,--Doyers Street
Sanu Ria,amenity,restaurant,2122332286,,,--Doyers Street
Newgen Pharmacy,amenity,pharmacy,,,,--Pell Street
Vegetarian Dim Sum House,amenity,restaurant,+1-212-577-7176,,,--
Taiwan Bear House,amenity,restaurant,,,,--Pell Street
The First Chinese Baptist Church,amenity,place_of_worship,,,,--Pell Street
Chinatown Ice Cream Factory,amenity,ice_cream,+1 212-608-4170,http://www.chinatownicecreamfactory.com/,,New York-10013-Bayard Street
Morgenstern's Finest Ice Cream,amenity,ice_cream,,,,--Rivington Street
Bowery Bliss,amenity,swingerclub,,,,--Bowery
Little Canal,amenity,cafe,(917) 472-7479,,,New York-10002-Canal Street
Landmark Coffee Shop & Pancake House,amenity,restaurant,,,,--Centre Street
2nd Avenue & East 2nd Street,amenity,post_box,,,,--
Bust of Sylvette,tourism,artwork,,,,--
Silver Spurs,amenity,restaurant,+1-212-228-2333,,,--LaGuardia Place
Troquet,amenity,bar,,,,--Grand Street
Tre Giovani,amenity,restaurant,+1-212-475-7420,https://www.tregiovaninewyork.com/,,--LaGuardia Place
Ferrara,amenity,restaurant,,,,--Grand Street
Vincent,amenity,restaurant,,,,--Mott Street
Cafe Napoli,amenity,restaurant,,,,--Hester Street
Shanghai Dumpling,amenity,restaurant,2129668698,,,--Mott Street
Cafe Roma,amenity,cafe,,,,--Broome Street
Jack's Wife Freda,amenity,restaurant,+1-212-510-8550,http://jackswifefreda.com/,info@jackswifefreda.com,--Lafayette Street
CVS Pharmacy,amenity,pharmacy,,,,--
Honeybrains,amenity,restaurant,,,,--Lafayette Street
Halaal cart,amenity,fast_food,,,,--Houston Street
Village Postal Works,amenity,post_office,+1 646-922-7067,,,--
Westwood Gallery,tourism,gallery,,,,New York-10012-Bowery
Katra Lounge,amenity,bar,+1-212-620-3033,http://www.katranyc.com/,,--Bowery
Multi Tastes Diner,amenity,restaurant,+1 212-587-8870,,,-10038-Saint James Place
